Material,Quantity per assembly,Daily demand,Replanishment Days,Cycle inventory (theorical),Safety Stock,Safety Stock (Theorical),Safety Stock in Days,Lot Size Calculado,Kanban Calculado,Business Unit,Supply Area (ZC_MKAL),Área da Fábrica,Package Type,Container Quantity,Package coverage in days,Packages used in a day,Part number Weight (kg),Total weight (parts + package),Nº of Operations,Data
CB01473209,4,24,5,120,"0,05",6,"1,0",126,2,LIBRA E ARIES,C81MS030PA,Montagem CANA,Bandejão,25,"1,0416666666666667","0,96","0,389","49,014",5,2022-01-19
CB01481019,12,72,5,360,"0,05",18,"3,0",378,2,LIBRA E ARIES,C81MS090PA,Montagem CANA,,150,"2,0833333333333335","0,48","0,104","39,312",5,2022-03-09
CB01481019,12,72,5,360,"0,05",18,"3,0",378,2,LIBRA E ARIES,C81MS090PA,Montagem CANA,,150,"2,0833333333333335","0,48","0,104","39,312",5,2022-03-30
CB01482374,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S1900PA,Solda CANA,Bandejão,15,"2,5","0,4","16,569","215,397",1,2022-01-19
CB01500718,2,12,2,24,"0,05",2,"0,3333333333333333",26,2,ARIES,C51S01E0PA,Solda CANA,KLT Pequena,110,"9,166666666666666","0,10909090909090909","0,139","4,314",1,2022-01-19
CB01503716,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,40,"6,666666666666667","0,15","2,067","39,273",2,2022-01-07
CB01508718,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Embalagem Especial,30,"5,0","0,2","0,454","14,528",5,2022-01-12
CB01509559,12,72,3,216,"0,05",11,"1,8333333333333333",227,2,ARIES,C51S0800PA,Solda CANA,KLT Média,52,"0,7222222222222222","1,3846153846153846","0,254","59,258",2,2022-01-14
CXT10571,1,6,4,24,"0,05",2,"0,3333333333333333",26,2,ARIES,C51S1200PA,Solda CANA,Container Grande,40,"6,666666666666667","0,15","18,916","561,816",3,2022-01-13
CXT10617,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S1200PA,Solda CANA,Bandejão,50,"8,333333333333334","0,12","1,519","28,860999999999997",2,2022-05-02
CXT10673,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Container Especial Grande,25,"4,166666666666667","0,24","16,987","613,584",5,2022-01-14
CXT10745,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S0900PA,Solda CANA,Bandejão,30,"5,0","0,2","1,248","16,224",1,2022-01-20
CXT10921,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","6,582","210,624",5,2022-05-05
CXT10921,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","6,582","210,624",5,2022-01-18
CXT10922,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S1500PA,Solda CANA,Embalagem Especial,25,"4,166666666666667","0,24","9,984","189,696",2,2022-01-05
CXT11491,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,24,"4,0","0,25","7,828","250,496",6,2022-01-25
CXT11491,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,24,"4,0","0,25","7,828","250,496",6,2022-02-07
CXT11593,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS040PA,Montagem CANA,Container Grande,10,"1,6666666666666667","0,6","14,752","562,0640000000001",6,2021-07-23
CXT11691,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,LIBRA E ARIES,C81FL230PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","0,546","17,472",6,2022-01-20
CXT11691,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,LIBRA E ARIES,C81FL230PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","0,546","17,472",6,2022-04-06
CXT11752,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,17,"2,8333333333333335","0,35294117647058826","4,581","146,592",6,2022-02-07
CXT11752,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,17,"2,8333333333333335","0,35294117647058826","4,581","146,592",6,2022-02-07
CXT11752,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,17,"2,8333333333333335","0,35294117647058826","4,581","146,592",6,2022-04-14
CXT11862,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS050PA,Montagem CANA,Bandejão,18,"3,0","0,3333333333333333","1,201","38,432",6,2022-01-10
CXT12225,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,LIBRA E ARIES,C81PA060PA,Montagem CANA,KLT Pequena,45,"7,5","0,13333333333333333","0,309","10,588",6,2022-02-05
